title,creator,date,youtubeId,tags
How to Get a Bitcoin Wallet: BlueWallet for iPhone and Android,BTC Sessions,4/27/20,imMX7i4qpmg,"BlueWallet,Lightning"
Using ColdCard with Unchained Capital's Caravan,Kevin Mulcrone,4/28/20,X-JxgTNr0xM,"ColdCard MK(1-4),Unchained/Caravan,Multisig"
Using Blockstream Green and a Ledger Nano S to Store Liquid Assets,Blockstream,5/4/20,FHa4ICrdS1w,"Blockstream App,Liquid,Ledger Nano(S/X)"
How to Verify ColdCard's Firmware,Coinkite,6/4/20,RYcB5HpfcaE,"ColdCard MK(1-4),Verifying Downloads"
How to Make a ColdCard Encrypted Backup (MicroSD),Coinkite,6/13/20,n8bS4a6HRyo,"ColdCard MK(1-4),Encrypted Backups"
Multisig Vaults with Phil from Unchained Capital,Guy Swann,6/23/20,OkDGVHbzQ3c,"Unchained/Caravan,Multisig,Trezor One"
Lily Wallet Demo,Kevin Mulcrone,6/23/20,NDDxtnNJl6E,"Lily,Multisig,ColdCard MK(1-4)"
How to Setup ColdCard with Electrum,Coinkite,6/23/20,u5jRJ8L1Vwo,"ColdCard MK(1-4),Electrum"
How to Setup ColdCard with Wasabi Wallet,Coinkite,6/24/20,jOK8j_oCJIQ,"ColdCard MK(1-4),Wasabi"
How to Use a Bitcoin Hardware Wallet: The BitBox02,BTC Sessions,7/1/20,6D4FgJo3j64,BitBox
How to Setup a ColdCard Air-Gap Multisig Wallet with Electrum,Coinkite,7/6/20,OMpZ5heLsRg,"ColdCard MK(1-4),Electrum,Multisig"
How to Sign a Simple PSBT Transaction with ColdCard and Electrum,Coinkite,7/10/20,fNZgVHq0FGM,"ColdCard MK(1-4),Electrum,Partially Signed Bitcoin Transactions (PSBT)"
Trust-Minimized External Recovery,Unchained,7/10/20,WyIKuReOVd0,"Unchained/Caravan,Multisig,Trezor One"
How to Use Payjoin with BTCPay Server,BTCPay Server,7/18/20,ID:-Wrqv6nSmAM,"Payjoin,BTCPay Server"
How to Use Coldpower USB Data Protection for Air-Gap Security,Coinkite,7/24/20,wCZMOfc0jRc,ColdCard MK(1-4)
ColdCard Passphrase (BIP 39) Features,Coinkite,7/26/20,qeESsHoAbsc,ColdCard MK(1-4)
How to Set Up the Start9 Embassy Personal Server with Fully Noded,Bitcoin Magazine,7/27/20,YMStLevc034,"Start9,Fully Noded"
Setting Up a Multisig Wallet with Specter and Electrum,Specter,8/5/20,4YXklLh2srA,"Specter Desktop,Electrum,Multisig"
Channel Management and RTL Interface in Raspiblitz,Explore Crypto,8/9/20,pESO_Pm0v10,"Raspiblitz,Ride The Lightning"
How to Use BIP 85 Child Seeds with ColdCard and Other Bitcoin Wallets,Coinkite,8/11/20,JvbtMQDPjYE,"ColdCard MK(1-4), Child Seeds (BIP 85),BlueWallet"
Running JoinMarket on the RaspiBlitz,Bitcoin Magazine,8/19/20,uGHRjilMhwY,"Coinjoin (JoinMarket),Raspiblitz"
How to Sovereign Recover an Unchained Capital Vault Using Caravan & Electrum,Nico Moran,8/20/20,NEYuEYCjBiY,"Unchained/Caravan,Electrum,Multisig"
How to Set Up and Spend 2-of-3 Multisig w/ Lily Wallet,Bitcoin Magazine,8/20/20,9xUgyTYqvcQ,"Lily,Multisig,Ledger Nano(S/X),Trezor One,ColdCard MK(1-4)"
How to Use Bitcoin Multisig: Lily Wallet,BTC Sessions,8/22/20,P5UIvCi9FSM,"Lily,Ledger Nano(S/X),Multisig,ColdCard MK(1-4)"
How and Why to Set Up a Shamir Backup on Trezor T,Bitcoin Takeover,8/28/20,FB289NG2bcM,"Trezor T,Shamir's Secret Sharing (SLIP-39)"
"2-of-4 Multisig with Trezor, ColdCard, Cobo and Specter DIY using Specter Desktop",Specter,9/3/20,QkGITfauNuU,"Trezor T,ColdCard MK(1-4),Keystone,Specter DIY,Specter Desktop,Multisig"
How to Use Bitcoin Multisig with Specter,BTC Sessions,9/14/20,ZQvCncdFMPo,"Specter Desktop,Multisig,Ledger Nano(S/X), ColdCard MK(1-4),Keystone"
How to Setup and Use Ledger Nano S Privately (ft. Wasabi Wallet),Bitcoin Magazine,9/14/20,RhXn0YvXOcY,"Ledger Nano(S/X),Wasabi"
Trezor Tutorial Part 1: Setup Process,Plan B Network,9/23/20,q-BlT6R4_bE,Trezor One
How to Use Specter Wallet for Bitcoin Multisig,Bitcoin Magazine,10/1/20,JaWC0FBS6M0,"Specter Desktop,MyNode,Multisig"
Using Bitaroo's Express Buy Feature,Arman the Parman,10/3/20,duIu6T3wTv0,Bitaroo
Trezor Tutorial Part 2: Recover Your Bitcoin from a Private Key,Plan B Network,10/5/20,3n4d4egjiFM,Trezor One
How to Setup Bitcoin Core,Coinkite,10/6/20,xc_TxlByxeY,"Bitcoin Core,Verifying Downloads"
RoninDojo Setup Guide,RoninDojo,10/14/20,5CxjRXixg4s,RoninDojo
Specter DIY: Adding User Entropy to the TRNG-Generated Mnemonic,Specter,10/21/20,76p0ADx9gXw,"Specter DIY,Seed Phrases (General)"
Live on Bitcoin with Bitrefill,BTC Sessions,11/1/20,B1Kk3GYLMXA,Bitrefill
"Electrum Desktop Wallet (Mac/Linux)- Download, Verify, Connect to Your Node",Arman the Parman,11/8/20,wHmQNcRWdHM,"Electrum,Verifying Downloads"
How to Use Fully Noded Bitcoin Wallet,Coinkite,11/8/20,f4gM0wQZUd4,"Fully Noded,ColdCard MK(1-4)"
Bitcoin Green Wallet Tutorial,Plan B Network,11/9/20,yYfug83pAic,Blockstream App
Trezor Model T- How to Use a Bitcoin Hardware Wallet,BTC Sessions,11/16/20,TtlgE2Fx3m8,Trezor T
Making a Bitcoin Transaction with Electrum,Arman the Parman,12/10/20,ID:-d_Zd7VcAfQ,Electrum
"Bisq- Buy + Sell Bitcoin No KYC, No ID!",BTC Sessions,12/14/20,4LyEKA5Iq9I,"Bisq,Non-KYC"
How to Use JoinMarket- Bitcoin Privacy Software,Coinkite,12/16/20,9COdlsh4inY,"Coinjoin (JoinMarket),Verifying Downloads"
BlueWallet: Mobile Multisig Vaults Tutorial,BTC Sessions,12/21/20,E1qcYkSerko,"BlueWallet,ColdCard MK(1-4),Keystone"
"Setting Up 2-of-3 Multisig with Specter DIY, Cobo Vault, and paper backup",Specter,12/28/20,xjBzAAiVKk8,"Specter DIY,Keystone,Multisig,Specter Desktop"
Signing Single-Key Transactions with Specter DIY,Specter,12/28/20,BzBlh_knIww,"Specter Desktop,Specter DIY"
Key Generation on Specter DIY,Specter,12/28/20,XfMr7B_uUIk,Specter DIY
Specter DIY Interface: PIN Screen,Specter,12/28/20,Oysg-hhBusc,Specter DIY
Verifying Electrum Wallet on Windows using GPG,Arman the Parman,1/5/21,TzOHLL_dKCM,"Electrum,Verifying Downloads"
Bitcoin Multisig Wallet with SeedSigner and Specter Desktop,SeedSigner,1/17/21,cC4-ZI638A0,"Specter Desktop,SeedSigner,Multisig"
Why & How to Run a Bitcoin/Lightning Node w/ MyNode,CuriousInventor,2/13/21,3xw-lMBbMds,MyNode
Tutorial Bitcoin Full Node with Umbrel,Plan B Network,2/16/21,O4sFSvtOx58,Umbrel
How to Create a Bitcoin Wallet on Cake Wallet,Cake Wallet,2/26/21,4SowZV5DrQA,Cake
How to Build a Bitcoin Node,Adam O'Brien,2/26/21,P0yBusy5_Zc,Umbrel
Blue Wallet Review,Darren Honeysett,2/28/21,MshoeCKZ570,BlueWallet
SeedSigner Build/Orange Pill Assembly,SeedSigner,3/9/21,aIIc2DiZYcI,SeedSigner
Fixing Stuck Bitcoin Transactions: Replace by Fee (RBF) and Child Pays for Parent (CPFP),Crypto Guide,3/15/21,LdmoP4Ss1hU,"Replace By Fee (RBF),Child Pays For Parent (CPFP),Electrum"
Yet Bitcoin Wallet Level 3 Setup Guide,Yeti Bitcoin Wallet,3/22/21,xCwSeYLrUb8,Yeti
How to Use Bitcoin's Liquid Network,BTC Sessions,3/30/21,jMDRWHBrQUc,"Liquid,Blockstream App"
Flash RoninOS to Micro SD Card,b.b. 2k16,4/4/21,RflekkbC08o,RoninDojo
How to Use Specter Wallet,Coinkite,4/5/21,VWze8xtH72I,"Specter Desktop,Verifying Downloads"
ColdCard + Wasabi Wallet = Fully Air-Gapped Bitcoin Transactions,Ian Major,4/21/21,zyxteQDn4u8,"ColdCard MK(1-4),Wasabi"
Child Pays for Parent Bitcoin Transaction Tutorial,Arman the Parman,4/21/21,q0fpuYVJysc,"Child Pays For Parent (CPFP),Electrum"
LNBits Point of Sale Tutorial,lnbits,4/23/21,PORsUnkU6Jg,LNbits
Sparrow Wallet Tutorial for Bitcoin Beginners,Davani,4/24/21,e_vbPsNdpd0,"Sparrow,Verifying Downloads"
How to Install RoninDojo on Raspberry Pi,b.b. 2k16,5/9/21,MGEhumGb0X8,RoninDojo
Ronin UI Walkthrough (ver 1.10.0),b.b. 2k16,5/26/21,suvUb28AKy0,RoninDojo
Blockstream Green: How to Set Up a Liquid Wallet,Blockstream,5/28/21,nv9ItZYCw2E,"Blockstream App,Liquid"
Blockstream Green: How to Send Liquid Assets,Blockstream,5/28/21,GYCsdDTypOE,"Blockstream App,Liquid"
Blockstream Green: How to Receive Liquid Assets,Blockstream,5/28/21,l1g6Q7L_QlI,"Liquid,Blockstream App"
Bisq: Setup and Connect to RoninDojo,b.b. 2k16,5/29/21,VRo8afuQX-E,"Bisq,RoninDojo"
Strike- Send Payments to Anyone in the World for Free,BTC Sessions,6/21/21,4-vJ7zZQ4wU,"Strike,Lightning"
BlueWallet Mobile Bitcoin Multisig Using Two Phones,BTC Sessions,7/6/21,RJ7W2NpLRiQ,"BlueWallet,Multisig"
Yeti Bitcoin Wallet Level 1 Setup Guide,Yeti Bitcoin Wallet,7/8/21,vNb4UM0Jr7I,Yeti
Yeti Bitcoin Wallet Level 2 Setup Guide,Yeti Bitcoin Wallet,7/8/21,z8oUy8SpYyM,Yeti
Keystone Wallet- Secure Your Bitcoin,BTC Sessions,7/12/21,4KDQqj02KK0,"Keystone,Blockstream App,BlueWallet"
Muun Wallet- A Beautifully Designed Bitcoin & Lightning Wallet,Ian Major,7/22/21,rQJ8JEWOYHg,"Muun,Lightning"
Bitcoin Core Wallet and Full Node Tutorial,CryptoJar,7/23/21,kUfOBIFSfbg,"Bitcoin Core Wallet,Bitcoin Core"
ColdCard Unboxing & Tutorial,Blockchain Academics,7/24/21,24L1SjV4ar0,"ColdCard MK(1-4),Wasabi"
Casa Multisig Bitcoin Security: Platinum Setup and Walkthrough,BTC Sessions,7/28/21,hDok4huHpeE,"Casa,Multisig,Trezor One,Ledger Nano(S/X)"
Open Pill Assembly Process,SeedSigner,8/23/21,gXPFJygZobE,SeedSigner
How to Run a Bitcoin Node for Free- Bitcoin Core,BTC Sessions,8/23/21,PXg_xUIYN84,Bitcoin Core
Generate Seed Checksum Word & SeedQR Manual Transcription,SeedSigner,8/24/21,c1-PqTNx1vc,"SeedSigner,Seed Phrases (General),SeedQR"
Single-Sig Bitcoin Wallet with SeedSigner & Specter Desktop,SeedSigner,8/26/21,LPqvdQ2gSzs,"SeedSigner,Specter Desktop"
Breez Wallet: Flexibility & Sovereignty for the Bitcoin Lightning Network,Ian Major,9/6/21,Z_yiPM2gzk0,"Breez,Lightning"
Ledn- Bitcoin Backed Loans and Savings,BTC Sessions,9/14/21,I_31ftbRv7U,Ledn
Assembling Your Umbrel Bitcoin Node in 30 Minutes! (Raspberry Pi),Ian Major,9/20/21,sK4x3UkxI-k,Umbrel
SeedXOR & ColdCard,Coinkite,9/22/21,Vl1KHT_-h_Q,"ColdCard MK(1-4),Seed XOR"
Keystone Bitcoin Only Firmware (Cold Storage Hardware Wallet),Crypto Guide,9/23/21,lBMY8S3nPl0,"Keystone,Seed Phrases (General),BlueWallet,Electrum"
Zebedee Bitcoin Wallet Tutorial,BTC Sessions,9/27/21,gPGzq01B9Qc,"Zebedee,Lightning"
Passport Wallet Tutorial- BlueWallet Set Up (Single Signature),Foundation,9/27/21,8bh7ydaDFQo,"Passport Core,BlueWallet"
Passport Wallet Tutorial- Restoring From Seed,Foundation,9/27/21,hEozTm1EZ-c,Passport Core
Passport Wallet Tutorial- Restoring From Backup File,Foundation,9/27/21,oSy_HXfJTw4,"Passport Core,Encrypted Backups"
Sparrow Wallet Tutorial: The Ultimate Bitcoin Desktop Wallet,Ian Major,9/27/21,GSHyKTigNQY,"Sparrow, Verifying Downloads,Umbrel"
Passport Wallet Tutorial- Using a Passphrase,Foundation,9/28/21,xo6UULwmgMw,Passport Core
How to Set up a Bitcoin Node: Umbrel Tutorial,Darren Honeysett,9/29/21,LfqtAk0k8Fo,"Umbrel,Bitcoin Core"
Connect Your Trezor to Your Umbrel Node,BTC Sessions,9/29/21,ID:-I53fAnQ6t8,"Umbrel,Trezor One,Sparrow"
Passport Wallet Tutorial- Wasabi Wallet Setup,Foundation,10/4/21,5200iKvyYKQ,"Passport Core,Wasabi"
Passport Wallet Tutorial- Specter Desktop Setup (Single Signature),Foundation,10/4/21,CPRavH77hKM,"Passport Core,Specter Desktop"
How to Buy Bitcoin in Canada with Shakepay,BTC Sessions,10/4/21,DF75hUz2BAM,Shakepay
Passport Wallet Tutorial- Bitcoin Core Setup (Single Signature),Foundation,10/5/21,HAsDeHWOAko,"Passport Core,Bitcoin Core"
Passport Wallet Tutorial- Specter Desktop Setup (Multisignature),Foundation,10/8/21,vDNfw3WWHJ0,"Passport Core,Specter Desktop,ColdCard MK(1-4),Multisig"
"Cryptography Deep Dive: Bitcoin Seeds, Keys, and More",Ian Major,10/11/21,Se2QSp7xjSU,Seed Phrases (General)
Passport Wallet Tutorial- Electrum Desktop (Single Signature),Foundation,10/12/21,mVT7oIIV7zM,"Passport Core,Electrum,Testnet"
BlueWallet Multisig Vault Tutorial,Ian Major,10/15/21,FkDxD5WbNb8,"BlueWallet,ColdCard MK(1-4),Multisig"
How to Backup and Restore Multisig Wallets (w/ Sparrow and Specter),BTC Sessions,10/26/21,_X5LygNovLU,"Specter Desktop,Sparrow,Multisig"
How to Perform Coin Control in Caravan: Manual UTXO Selection,Unchained,11/3/21,_9AWfndN-YU,"Unchained/Caravan,UTXO Management,Multisig"
Specter Wallet Tutorial- Bitcoin Multisig with Your Own Node,Ian Major,11/5/21,L07FOsLBVm4,"Specter Desktop,Verifying Downloads,Umbrel,ColdCard MK(1-4),Multisig"
Ledn Review,Darren Honeysett,11/12/21,GZqW3FMScQU,Ledn
"CoinOS Wallet: Bitcoin On-Chain, Liquid, and Lightning ",BTC Sessions,11/15/21,6wmtPKLeZH0,"Liquid,Lightning"
How to Buy Non-KYC Bitcoin from a Bitcoin ATM,Ian Major,11/18/21,DnheitmOalQ,Non-KYC
Jade Bitcoin Hardware Wallet Tutorial,Blockchain Academics,12/6/21,Bn9tLQFlUwM,"Jade,Blockstream App"
Mercury Wallet- Using Bitcoin Statechains for Privacy,BTC Sessions,12/7/21,SlF_GDscgBw,"Mercury,Statechains"
Trezor One Tutorial,Ian Major,12/10/21,4VKcXuc2LCM,Trezor One
Muun Wallet Review,Darren Honeysett,12/14/21,h3PQc432gI4,"Muun,Lightning"
Opendime Tutorial: Using Bitcoin Like Physical Cash,Ian Major,12/24/21,zsmcHM4C7gs,Opendime
Casa Managed Multisignature Bitcoin Wallet,Crypto Guide,12/31/21,eCnHYlixqbU,"Casa,Ledger Nano(S/X),Trezor One,Keystone,ColdCard MK(1-4),Multisig"
Improving Casa Multisig: Watch-Only Wallet and Sovereign Recovery,Crypto Guide,1/15/22,LmmkAD5UsmY,"Casa,Electrum,Sparrow,ColdCard MK(1-4),Keystone,Multisig"
Get Connected with Lightning Node Connect,Lightning Labs,1/20/22,5kH1ByxjkTM,Lightning Node Connect 
Shakepay Bitcoin Visa- Sats Back on Every Purchase!,BTC Sessions,1/24/22,FbE0yU0WTtM,Shakepay
Electrum Wallet Multisig Tutorial,Ian Major,1/28/22,nvE3c7DlNHg,"Electrum,Multisig,Trezor One"
ColdCard Easy Guide: The 5 Minutes Setup,Coinkite,2/7/22,qNjgs1WJfK0,"ColdCard MK(1-4),Sparrow"
How to Setup a Bitcoin Multisig Wallet (Sparrow),theBTCcourse,2/12/22,p3WV_zgX4fE,"Multisig,Sparrow,Ledger Nano(S/X),BlueWallet"
ColdCard Seed XOR- Robust Bitcoin Backup,BTC Sessions,2/28/22,RvquutZwNAg,"ColdCard MK(1-4),Seed XOR"
How to Setup Nunchuk Wallet,Crypto Blick,3/3/22,APTVdEwBGU8,Nunchuk
BTCPay Server Tutorial: How to Accept Bitcoin As Payment or Donation,Ian Major,3/11/22,NQddaMjiQxQ,"BTCPay Server,Umbrel"
BTCPay Server Walkthrough for Absolute Beginners,Vasker Media,3/14/22,sksPq92KYWI,BTCPay Server
Paynyms in Sparrow Wallet- Privacy Preserving Public Bitcoin IDs,BTC Sessions,3/14/22,o-iDeLZ4BiE,"Paynyms (BIP 47),Sparrow,Payjoin"
How to Setup and Use the BitBox02,BitBox,3/22/22,sB4b2PbYaj0,BitBox
Start and Manage a Bitcoin Lightning Node,theBTCcourse,3/25/22,4cRCkhqvUYc,"Thunderhub,Loop,Lightning Network Daemon (LND)"
BlueWallet + SeedSigner: Single Sig Bitcoin Cold Wallet,Robotechy,3/27/22,CQrBlzZAbjs,"BlueWallet,SeedSigner,SeedQR"
How to Set Up Your Bitcoin Blue Wallet,Plan B Network,4/5/22,QwEOgRzBJHw,"BlueWallet,Lightning"
Robosats- Buy and Sell Bitcoin with No ID,BTC Sessions,4/13/22,XW_wzRz_BDI,"Robosats,Non-KYC,Lightning"
BTCPay Server- Accept Bitcoin Payments in Minutes,BTC Sessions,4/18/22,KqsM-n-e4aY,"BTCPay Server,Lightning Network Daemon (LND)"
Coin Control in Blockstream Green,Blockstream,4/18/22,Ddin_1ymaBc,"Blockstream App,UTXO Management"
BitBox Tutorial 02,Plan B Network,4/19/22,UTqCxssV-54,BitBox
Fountain: Podcasting 2.0,BTC Sessions,4/27/22,IxuCGPGgMZg,"Fountain,Lightning"
Ronin Dojo- A Bitcoin Node for Privacy,BTC Sessions,5/4/22,hI9ozPq1GlQ,"RoninDojo,Coinjoin (Whirlpool)"
Lightning Terminal Overview (Pool & Loop),Ian Major,5/6/22,7hzP7fx_3is,"Umbrel,Lightning Node Connect,Loop,Pool"
Ubuntu Node Box: Fulcrum Server,Ministry of Nodes,5/11/22,SpQRrbJt7cg,"Fulcrum,Ubuntu Node Box"
Ubuntu Node Box: Sparrow Wallet,Ministry of Nodes,5/11/22,9dcXXz1CHV8,"Sparrow,Ubuntu Node Box"
Ubuntu Node Box: Make Your BTCPay Server Public,Ministry of Nodes,5/11/22,LwMLVAtuiA4,"BTCPay Server,Ubuntu Node Box"
Ubuntu Node Box: BTCPay Server,Ministry of Nodes,5/11/22,rSw7DaTsjhA,"BTCPay Server,Ubuntu Node Box"
Ubuntu Node Box: Lightning Network Daemon (LND),Ministry of Nodes,5/11/22,UMXS7u4RHwI,"Lightning Network Daemon (LND),Ubuntu Node Box"
Ubuntu Node Box: Ride The Lightning,Ministry of Nodes,5/11/22,T0UYZOChn3M,"Ride The Lightning,Ubuntu Node Box,Lightning Network Daemon (LND)"
Ubuntu Node Box: Zeus Wallet,Ministry of Nodes,5/11/22,bRzkxzgMfLg,"Ubuntu Node Box,Zeus,Lightning Network Daemon (LND)"
Ubuntu Node Box: ThunderHub,Ministry of Nodes,5/11/22,jVGxrXC5osE,"Ubuntu Node Box,ThunderHub"
Blixt Wallet: A Cutting-Edge Non-Custodial Bitcoin Lightning Wallet,Ian Major,5/20/22,5JyOAeaCN0o,"Blixt,Lightning"
"Electrum Server (Part 1): Downloading, Verifying and Connecting Electrum Wallet",402 Payment Required,5/22/22,mbG7hBMWQrs,"Electrum Rust Server (Electrs),Verifying Downloads,Electrum"
Umbrel Bitcoin Node Setup,Bitcoin Brandon,5/23/22,fbH4o_uK8-M,Umbrel
Electrum Server (Part 2): Connect to Electrum Server Remotely,402 Payment Required,5/25/22,IbOxgdHsyRI,"Electrum Rust Server (Electrs),Electrum"
Core Lightning (Part 1): Setup and Backup,402 Payment Required,5/28/22,fvB1SmY-y98,"Core Lightning,Verifying Downloads"
myNode Setup,MyNode,5/29/22,zjaM8Vhe3JU,MyNode
Raspiblitz Node Zeus Setup Guide,Bitcoin Brandon,5/30/22,f6PJHJA9YJM,"Raspiblitz,Ride The Lightning,Zeus"
Core Lightning (Part 2): Plugins,402 Payment Required,5/30/22,LDyAH4ZM8VY,Core Lightning
Unchained Capital- Multisig Bitcoin Vaults,BTC Sessions,5/31/22,ToMYVLrcKgo,"Unchained/Caravan,Multisig,ColdCard MK(1-4),Ledger Nano(S/X),Trezor T,Sparrow"
Core Lightning (Part 3): Ride the Lightning,402 Payment Required,6/1/22,rSyYCj0mtuc,"Core Lightning,Ride The Lightning,Verifying Downloads"
"Core Lightning (Part 4): Ride the Lightning and Zeus, over Tor",402 Payment Required,6/3/22,6xNYsU1F_IQ,"Core Lightning,Ride The Lightning,Zeus"
Core Lightning (Part 5): Spark Server & Wallet,402 Payment Required,6/4/22,sDM-qUBucZI,"Core Lightning,Spark,Verifying Downloads"
Self-Custody in Blockstream Green,Blockstream,6/7/22,pXU0ZHX0WpA,"Jade,Blockstream App,Liquid"
Blockstream Jade- Mobile Bitcoin Hardware Wallet,BTC Sessions,6/14/22,_U1jsTeqbTw,"Jade,Blockstream App"
Wasabi Wallet 2.0: Unboxing & Tutorial,Wasabi Wallet,6/15/22,bQKU2khua-8,"Wasabi,Coinjoin (Wabisabi)"
ColdCard Bitcoin Hardware Wallet- Full Tutorial,BTC Sessions,6/22/22,FAYmE5-40PQ,"ColdCard MK(1-4),Sparrow"
RoboSats: Non-KYC Bitcoin P2P Over the Lightning Network,Ian Major,6/24/22,QISRoZxQaAs,"Robosats,Non-KYC,Lightning"
How to Setup and Use Electrum Wallet,The Social Guide,6/28/22,SLE2T0AKQfc,Electrum
Cool Bitcoin S^*t Ep. 4: Back Up and Encrypt Bitcoin Core,Bitcoin Takeover,7/2/22,7o10OvOxDDI,"Bitcoin Core,Encrypted Backups"
Bitcoin & Lightning Server,402 Payment Required,7/2/22,_Hrnls92TxQ,"Bitcoin Core,Core Lightning,Electrum Rust Server (Electrs),Ride The Lightning,Verifying Downloads"
LNBits Lightning Wallet Toolkit,BTC Sessions,7/4/22,9cvxCL4ADE4,"LNbits,Voltage"
Bisq on Tails,402 Payment Required,7/7/22,r28qe_uXl4w,"Bisq,Verifying Downloads"
ColdCard MK4 Full Step-by-Step Tutorial (w/ Sparrow Wallet Pairing),Ian Major,7/18/22,7dNGdkeQ7ew,"ColdCard MK(1-4),Verifying Downloads,Sparrow"
Passport Unboxing Pt. 2,Foundation,7/18/22,IXj-s-7odFQ,Passport Core
Connecting Passport with Envoy,Foundation,7/18/22,x-EERNXlvrc,"Passport Core,Envoy"
Self-Custody Bitcoin Offline in Blockstream Jade,Blockstream,7/19/22,Xuk85w-58EE,"Jade,Blockstream App"
BIP 85: Password ColdCard Demo,Coinkite,7/22/22,cE948LgzADM,"ColdCard MK(1-4), Child Seeds (BIP 85)"
Managing Multiple Bitcoin Accounts with Passport,Foundation,7/22/22,9cfmXTXEVgw,"Passport Core,Envoy"
Blockstream Jade Hardware Wallet- Tutorial & Review,Darren Honeysett,7/25/22,HMBm75b_wGk,"Jade,Blockstream App"
Using PIN Security Words on Passport,Foundation,7/27/22,1EjGq_Pah30,Passport Core
Tapsigner from Coinkite- NFC Bitcoin Cold Storage,BTC Sessions,8/2/22,xKHy1HMw5iU,"Tapsigner,Nunchuk,Multisig"
SeedSigner- Raspberry Pi Based DIY Bitcoin Hardware Wallet,Crypto Guide,8/4/22,1c5SR8v8l1M,"SeedSigner,Verifying Downloads,BlueWallet,SeedQR"
BitBox02 Bitcoin Hardware Wallet,Jonathan Levi,8/9/22,AUUj0tdZ7uU,BitBox
ColdCard MK4 Setup Tutorial,Rhett Reisman,8/15/22,YeEy7pOre04,"ColdCard MK(1-4),Sparrow"
No KYC Bitcoin: How to Buy Bitcoin Privately,Jonathan Levi,8/16/22,PtASu0oTadA,"Non-KYC,Bisq"
